,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cape town,0,ZA,82,-33.93,18.42,68.0,14.987510407993339
1,castro,40,CL,62,-42.48,-73.76,59.0,13.869039482023688
2,coquimbo,75,CL,82,-29.95,-71.34,60.8,9.171461592951147
3,batemans bay,80,AU,77,-35.71,150.18,71.00600000000003,1.006623833372687
4,dubnany,75,CZ,58,48.92,17.09,55.99400000000007,5.816048815042191
5,moose factory,1,CA,42,51.26,-80.61,8.600000000000001,20.80355922303553
6,mendahara,,,,,,,
7,ushuaia,,,,,,,
8,mataura,,,,,,,
9,fortuna,,,,,,,
10,petropavlovka,,,,,,,
11,punta arenas,,,,,,,
12,norman wells,,,,,,,
13,marfino,,,,,,,
14,armacao dos buzios,,,,,,,
15,naze,,,,,,,
16,tomatlan,,,,,,,
17,avarua,,,,,,,
18,busselton,,,,,,,
19,nanchong,,,,,,,
20,napasar,,,,,,,
21,lolua,,,,,,,
22,krasnoarmeysk,,,,,,,
23,wakkanai,,,,,,,
24,lebu,,,,,,,
25,thinadhoo,,,,,,,
26,vaini,,,,,,,
27,oktyabrskiy,,,,,,,
28,provideniya,,,,,,,
29,port keats,,,,,,,
30,saskylakh,,,,,,,
31,dakar,,,,,,,
32,port elizabeth,,,,,,,
33,albany,,,,,,,
34,ribeira grande,,,,,,,
35,kodiak,,,,,,,
36,richards bay,,,,,,,
37,diego de almagro,,,,,,,
38,kazalinsk,,,,,,,
39,fort-shevchenko,,,,,,,
40,mount isa,,,,,,,
41,lasa,,,,,,,
42,santa maria,,,,,,,
43,cherskiy,,,,,,,
44,bluff,,,,,,,
45,hithadhoo,,,,,,,
46,thompson,,,,,,,
47,jamestown,,,,,,,
48,pevek,,,,,,,
49,belushya guba,,,,,,,
50,noumea,,,,,,,
51,faya,,,,,,,
52,khatanga,,,,,,,
53,mykolayivka,,,,,,,
54,ponta delgada,,,,,,,
55,novoagansk,,,,,,,
56,bethel,,,,,,,
57,ibra,,,,,,,
58,ponta do sol,,,,,,,
59,ilhabela,,,,,,,
60,san quintin,,,,,,,
61,kazachinskoye,,,,,,,
62,russell,,,,,,,
63,ambodifototra,,,,,,,
64,rocha,,,,,,,
65,kaitangata,,,,,,,
66,arraial do cabo,,,,,,,
67,hastings,,,,,,,
68,tukrah,,,,,,,
69,ilulissat,,,,,,,
70,puerto ayora,,,,,,,
71,asau,,,,,,,
72,kapaa,,,,,,,
